iter	Passed	Remaining
0	8	48976
1	18	56685
2	27	54706
3	36	54048
4	45	54215
5	53	53454
6	63	53970
7	71	53733
8	82	54642
9	88	53193
10	98	53828
11	105	52873
12	115	53337
13	122	52462
14	133	53400
15	141	52771
16	150	52975
17	157	52289
18	168	52902
19	176	52654
20	184	52494
21	192	52262
22	201	52356
23	210	52508
24	219	52345
25	229	52736
26	236	52314
27	247	52749
28	253	52247
29	264	52678
30	271	52313
31	282	52612
32	289	52334
33	300	52705
34	309	52763
35	317	52545
36	326	52601
37	333	52382
38	343	52476
39	350	52293
40	360	52444
41	368	52251
42	379	52601
43	387	52437
44	396	52517
45	403	52202
46	414	52535
47	423	52532
48	431	52388
49	441	52540
50	448	52340
51	459	52584
52	466	52335
53	476	52493
54	483	52291
55	493	52410
56	501	52265
57	511	52379
58	518	52161
59	528	52279
60	534	52059
61	545	52206
62	551	51981
63	561	52087
64	568	51951
65	577	51947
66	584	51722
67	593	51805
68	602	51803
69	611	51805
70	619	51748
71	628	51708
72	638	51878
73	646	51777
74	655	51816
75	664	51834
76	674	51921
77	681	51770
78	691	51857
79	698	51667
80	708	51797
81	715	51645
82	725	51693
83	731	51553
84	741	51633
85	748	51488
86	758	51576
87	765	51438
88	775	51519
89	781	51337
90	791	51386
91	797	51237
92	807	51319
93	814	51176
94	824	51259
95	831	51126
96	841	51214
97	848	51085
98	858	51142
99	866	51111
100	874	51098
101	883	51067
102	891	51034
103	899	51002
104	909	51037
105	919	51124
106	926	51047
107	935	51040
108	943	50989
109	954	51082
110	961	51020
111	971	51084
112	978	50979
113	988	51061
114	995	50944
115	1005	50992
116	1012	50893
117	1021	50943
118	1029	50876
119	1039	50957
120	1048	50926
121	1056	50899
122	1064	50868
123	1073	50865
124	1082	50867
125	1091	50866
126	1099	50848
127	1108	50833
128	1117	50852
129	1124	50780
130	1134	50825
131	1141	50743
132	1151	50782
133	1158	50710
134	1168	50768
135	1175	50669
136	1185	50718
137	1192	50635
138	1202	50702
139	1209	50635
140	1221	50768
141	1230	50745
142	1238	50740
143	1247	50741
144	1255	50712
145	1266	50781
146	1273	50695
147	1283	50750
148	1290	50664
149	1300	50705
150	1307	50635
151	1316	50665
152	1323	50572
153	1333	50619
154	1340	50548
155	1350	50592
156	1357	50517
157	1366	50542
158	1373	50468
159	1384	50522
160	1390	50445
161	1401	50493
162	1409	50476
163	1419	50501
164	1427	50483
165	1436	50473
166	1445	50471
167	1453	50452
168	1464	50520
169	1471	50447
170	1482	50522
171	1488	50446
172	1499	50498
173	1505	50424
174	1516	50462
175	1522	50390
176	1532	50424
177	1539	50365
178	1549	50396
179	1556	50332
180	1565	50337
181	1575	50353
182	1583	50344
183	1593	50364
184	1601	50331
185	1610	50346
186	1617	50281
187	1627	50313
188	1634	50254
189	1645	50304
190	1651	50238
191	1662	50292
192	1669	50218
193	1679	50249
194	1685	50175
195	1696	50233
196	1703	50166
197	1713	50198
198	1719	50133
199	1730	50173
200	1737	50130
201	1746	50123
202	1754	50088
203	1762	50078
204	1770	50048
205	1778	50031
206	1787	50037
207	1796	50014
208	1804	49999
209	1813	49991
210	1821	49970
211	1829	49946
212	1837	49932
213	1846	49924
214	1854	49903
215	1863	49898
216	1872	49907
217	1880	49875
218	1890	49892
219	1896	49834
220	1906	49850
221	1914	49822
222	1924	49852
223	1931	49795
224	1942	49853
225	1951	49867
226	1960	49861
227	1969	49851
228	1977	49838
229	1985	49816
230	1995	49834
231	2005	49849
232	2012	49803
233	2020	49792
234	2028	49769
235	2039	49811
236	2045	49749
237	2056	49790
238	2063	49742
239	2073	49771
240	2080	49723
241	2091	49754
242	2097	49685
243	2107	49709
244	2113	49652
245	2123	49680
246	2131	49635
247	2141	49666
248	2149	49648
249	2159	49664
250	2167	49652
251	2175	49629
252	2184	49616
253	2192	49601
254	2203	49635
255	2210	49597
256	2220	49625
257	2227	49581
258	2236	49578
259	2244	49541
260	2254	49583
261	2261	49535
262	2271	49558
263	2279	49533
264	2289	49544
265	2297	49532
266	2306	49519
267	2314	49498
268	2323	49493
269	2331	49470
270	2339	49457
271	2348	49447
272	2356	49440
273	2365	49436
274	2373	49413
275	2383	49428
276	2390	49397
277	2400	49417
278	2407	49365
279	2417	49388
280	2424	49351
281	2435	49383
282	2442	49339
283	2452	49363
284	2459	49317
285	2469	49339
286	2476	49300
287	2486	49315
288	2494	49289
289	2502	49282
290	2511	49277
291	2519	49254
292	2527	49236
293	2535	49214
294	2542	49160
295	2552	49182
296	2559	49146
297	2568	49140
298	2574	49096
299	2584	49108
300	2591	49057
301	2602	49111
302	2613	49132
303	2620	49094
304	2629	49094
305	2637	49072
306	2647	49094
307	2654	49053
308	2664	49071
309	2671	49028
310	2681	49048
311	2688	49004
312	2698	49028
313	2704	48982
314	2714	48996
315	2721	48949
316	2731	48975
317	2738	48927
318	2748	48954
319	2755	48914
320	2765	48927
321	2774	48930
322	2783	48922
323	2791	48901
324	2800	48896
325	2807	48870
326	2816	48858
327	2824	48844
328	2835	48868
329	2843	48855
330	2850	48826
331	2859	48815
332	2867	48800
333	2876	48793
334	2883	48758
335	2892	48751
336	2899	48723
337	2908	48726
338	2916	48708
339	2924	48686
340	2932	48673
341	2944	48711
342	2952	48694
343	2963	48726
344	2971	48706
345	2980	48705
346	2989	48698
347	2997	48679
348	3005	48664
349	3013	48651
350	3022	48645
351	3030	48627
352	3039	48618
353	3047	48605
354	3056	48594
355	3063	48575
356	3074	48596
357	3082	48575
358	3092	48591
359	3098	48542
360	3108	48553
361	3115	48520
362	3125	48534
363	3132	48497
364	3141	48503
365	3148	48465
366	3157	48470
367	3164	48432
368	3174	48445
369	3181	48407
370	3191	48418
371	3197	48382
372	3207	48392
373	3214	48357
374	3225	48376
375	3231	48336
376	3242	48357
377	3249	48324
378	3259	48338
379	3268	48335
380	3276	48325
381	3285	48312
382	3293	48305
383	3303	48317
384	3311	48297
385	3320	48292
386	3327	48260
387	3336	48256
388	3344	48236
389	3352	48220
390	3359	48199
391	3368	48187
392	3377	48183
393	3388	48216
394	3395	48185
395	3405	48191
396	3412	48160
397	3423	48185
398	3430	48152
399	3439	48155
400	3450	48183
401	3458	48161
402	3467	48160
403	3475	48139
404	3484	48135
405	3491	48107
406	3501	48114
407	3508	48086
408	3517	48082
409	3524	48057
410	3534	48057
411	3541	48035
412	3551	48046
413	3558	48018
414	3571	48062
415	3577	48026
416	3586	48017
417	3593	47983
418	3603	48000
419	3610	47969
420	3620	47979
421	3628	47955
422	3637	47963
423	3644	47923
424	3654	47938
425	3662	47928
426	3673	47940
427	3683	47954
428	3689	47915
429	3699	47920
430	3706	47887
431	3715	47883
432	3723	47868
433	3733	47876
434	3740	47850
435	3750	47863
436	3758	47844
437	3768	47854
438	3775	47824
439	3785	47834
440	3791	47797
441	3801	47805
442	3808	47777
443	3818	47786
444	3826	47770
445	3834	47753
446	3842	47733
447	3851	47725
448	3858	47697
449	3867	47704
450	3874	47671
451	3884	47683
452	3891	47654
453	3901	47661
454	3909	47646
455	3918	47635
456	3925	47610
457	3935	47617
458	3944	47622
459	3953	47609
460	3961	47602
461	3969	47577
462	3978	47581
463	3985	47554
464	3995	47564
465	4002	47535
466	4013	47550
467	4019	47518
468	4030	47526
469	4036	47492
470	4046	47504
471	4053	47474
472	4063	47484
473	4069	47448
474	4078	47441
475	4085	47417
476	4095	47419
477	4102	47390
478	4112	47398
479	4119	47371
480	4128	47374
481	4136	47354
482	4145	47356
483	4152	47324
484	4164	47357
485	4173	47349
486	4181	47333
487	4189	47322
488	4197	47308
489	4206	47296
490	4214	47281
491	4223	47278
492	4231	47262
493	4239	47249
494	4247	47232
495	4255	47223
496	4263	47208
497	4272	47199
498	4280	47191
499	4290	47191
500	4297	47173
501	4306	47161
502	4313	47144
503	4323	47146
504	4330	47121
505	4339	47120
506	4347	47101
507	4357	47108
508	4365	47090
509	4375	47104
510	4383	47081
511	4393	47090
512	4400	47063
513	4412	47091
514	4422	47100
515	4429	47077
516	4439	47084
517	4446	47058
518	4457	47070
519	4464	47044
520	4474	47055
521	4481	47030
522	4491	47040
523	4498	47011
524	4508	47021
525	4515	46996
526	4525	46994
527	4531	46964
528	4540	46963
529	4547	46935
530	4557	46942
531	4564	46912
532	4574	46917
533	4580	46889
534	4591	46897
535	4597	46867
536	4607	46872
537	4614	46847
538	4624	46851
539	4633	46848
540	4641	46838
541	4651	46839
542	4659	46829
543	4672	46862
544	4678	46830
545	4689	46846
546	4696	46818
547	4706	46826
548	4715	46820
549	4723	46808
550	4732	46799
551	4741	46791
552	4749	46781
553	4757	46768
554	4767	46777
555	4775	46760
556	4784	46753
557	4791	46732
558	4800	46723
559	4808	46708
560	4818	46717
561	4825	46694
562	4835	46700
563	4842	46670
564	4852	46675
565	4858	46647
566	4869	46657
567	4875	46627
568	4886	46638
569	4893	46613
570	4903	46626
571	4911	46604
572	4920	46602
573	4929	46593
574	4937	46585
575	4945	46571
576	4954	46562
577	4962	46547
578	4970	46537
579	4978	46526
580	4987	46518
581	4995	46503
582	5004	46497
583	5012	46489
584	5020	46471
585	5028	46455
586	5037	46449
587	5046	46447
588	5055	46439
589	5066	46453
590	5072	46429
591	5083	46438
592	5090	46411
593	5099	46415
594	5107	46400
595	5117	46403
596	5124	46373
597	5134	46380
598	5140	46349
599	5150	46352
600	5160	46356
601	5168	46349
602	5178	46348
603	5186	46334
604	5196	46336
605	5202	46311
606	5211	46304
607	5220	46296
608	5230	46300
609	5237	46276
610	5247	46283
611	5254	46256
612	5262	46250
613	5270	46229
614	5279	46225
615	5285	46200
616	5296	46209
617	5303	46184
618	5313	46192
619	5320	46168
620	5330	46175
621	5337	46152
622	5347	46156
623	5354	46130
624	5364	46137
625	5373	46130
626	5383	46131
627	5391	46121
628	5400	46116
629	5410	46115
630	5417	46094
631	5426	46094
632	5432	46058
633	5440	46049
634	5448	46036
635	5457	46030
636	5466	46020
637	5476	46027
638	5485	46021
639	5497	46038
640	5506	46032
641	5514	46026
642	5523	46015
643	5531	46006
644	5541	46003
645	5549	45994
646	5559	45999
647	5567	45979
648	5577	45984
649	5584	45967
650	5595	45973
651	5601	45942
652	5611	45948
653	5618	45927
654	5628	45930
655	5635	45906
656	5645	45908
657	5653	45898
658	5661	45886
659	5668	45859
660	5677	45861
661	5684	45838
662	5694	45839
663	5701	45814
664	5711	45817
665	5719	45806
666	5727	45797
667	5736	45787
668	5747	45796
669	5758	45806
670	5764	45783
671	5774	45786
672	5781	45761
673	5792	45771
674	5799	45747
675	5808	45749
676	5815	45724
677	5825	45726
678	5832	45704
679	5842	45710
680	5849	45684
681	5860	45697
682	5868	45686
683	5877	45678
684	5886	45672
685	5894	45662
686	5905	45668
687	5912	45647
688	5922	45653
689	5929	45628
690	5938	45629
691	5945	45606
692	5954	45602
693	5962	45584
694	5972	45585
695	5978	45560
696	5989	45568
697	5996	45546
698	6006	45550
699	6012	45525
700	6022	45525
701	6028	45497
702	6039	45503
703	6045	45480
704	6055	45482
705	6063	45464
706	6072	45465
707	6079	45439
708	6089	45441
709	6095	45419
710	6107	45431
711	6115	45422
712	6124	45414
713	6132	45400
714	6141	45397
715	6154	45416
716	6161	45396
717	6171	45399
718	6178	45378
719	6188	45378
720	6194	45355
721	6205	45361
722	6212	45340
723	6221	45341
724	6229	45321
725	6238	45318
726	6246	45309
727	6255	45300
728	6263	45288
729	6271	45277
730	6280	45267
731	6288	45255
732	6296	45245
733	6304	45233
734	6312	45218
735	6321	45214
736	6329	45198
737	6338	45191
738	6346	45180
739	6355	45175
740	6364	45170
741	6374	45170
742	6384	45170
743	6392	45160
744	6402	45161
745	6408	45134
746	6418	45139
747	6426	45120
748	6436	45121
749	6444	45114
750	6453	45102
751	6461	45092
752	6469	45081
753	6478	45075
754	6488	45073
755	6498	45080
756	6506	45064
757	6516	45064
758	6523	45043
759	6532	45042
760	6539	45019
761	6549	45018
762	6555	44998
763	6566	44999
764	6572	44979
765	6583	44983
766	6589	44959
767	6600	44962
768	6607	44947
769	6616	44943
770	6625	44933
771	6633	44924
772	6643	44920
773	6650	44906
774	6660	44905
775	6667	44887
776	6677	44886
777	6685	44870
778	6695	44874
779	6702	44854
780	6711	44849
781	6718	44831
782	6728	44830
783	6735	44809
784	6745	44810
785	6752	44790
786	6761	44784
787	6767	44763
788	6776	44756
789	6785	44747
790	6795	44753
791	6803	44735
792	6812	44733
793	6819	44713
794	6829	44713
795	6836	44693
796	6846	44692
797	6852	44668
798	6862	44671
799	6869	44654
800	6879	44652
801	6887	44637
802	6897	44639
803	6906	44632
804	6914	44620
805	6922	44607
806	6930	44595
807	6938	44585
808	6946	44574
809	6954	44560
810	6962	44550
811	6971	44540
812	6980	44533
813	6987	44520
814	6996	44509
815	7004	44496
816	7012	44487
817	7020	44475
818	7028	44461
819	7037	44454
820	7045	44446
821	7053	44433
822	7061	44421
823	7069	44410
824	7078	44403
825	7090	44411
826	7097	44397
827	7107	44398
828	7114	44377
829	7124	44380
830	7131	44357
831	7139	44348
832	7146	44330
833	7156	44327
834	7163	44309
835	7173	44312
836	7180	44291
837	7190	44293
838	7197	44271
839	7207	44272
840	7213	44251
841	7223	44252
842	7230	44233
843	7240	44235
844	7247	44213
845	7257	44215
846	7264	44195
847	7274	44198
848	7281	44175
849	7290	44173
850	7298	44160
851	7307	44154
852	7316	44146
853	7325	44140
854	7333	44126
855	7341	44118
856	7349	44106
857	7358	44099
858	7368	44097
859	7375	44081
860	7383	44069
861	7393	44067
862	7401	44057
863	7409	44045
864	7419	44047
865	7426	44028
866	7436	44025
867	7442	44003
868	7452	44004
869	7459	43985
870	7469	43983
871	7476	43964
872	7486	43965
873	7492	43945
874	7503	43946
875	7509	43925
876	7518	43922
877	7525	43902
878	7535	43901
879	7542	43881
880	7551	43878
881	7558	43862
882	7568	43860
883	7575	43841
884	7585	43838
885	7591	43817
886	7600	43814
887	7608	43800
888	7618	43799
889	7624	43778
890	7635	43782
891	7642	43763
